Id,Dataset,Classifier,Measure,Type,Mean,Std
5,transfusion,LR,MCC,Normalized,0.6584857041657648,0.105506554174529
4,transfusion,LR,Precision,Standard,0.5983253968253969,0.2866172217153474
5,transfusion,LR,Precision,Normalized,0.8036451917589876,0.2777930850894659
4,transfusion,LR,Accuracy,Standard,0.7709945945945946,0.02206666571037435
5,transfusion,LR,Accuracy,Normalized,0.8531963438871292,0.027295384052398997
6,ecoli,kNN,G-mean,Standard,0.665611071271389,0.24937643094309178
7,ecoli,kNN,G-mean,Normalized,0.7676683222958056,0.2633899356940467
6,ecoli,kNN,Kappa,Standard,0.523924044446369,0.25657169810151864
7,ecoli,kNN,Kappa,Normalized,0.8960476453274466,0.1698681249400571
6,ecoli,kNN,Bal. acc.,Standard,0.7454543010752688,0.1310457104496431
7,ecoli,kNN,Bal. acc.,Normalized,0.8333866813833701,0.1485896165841296
6,ecoli,kNN,Recall,Standard,0.5208333333333333,0.2607081701826776
7,ecoli,kNN,Recall,Normalized,0.5233333333333333,0.2557885411385306
6,ecoli,kNN,F1-score,Standard,0.5618333333333334,0.244414837801979
7,ecoli,kNN,F1-score,Normalized,0.8563272626931565,0.2669895106381887
6,ecoli,kNN,MCC,Standard,0.5416282843604656,0.2599660780542345
7,ecoli,kNN,MCC,Normalized,0.8951250919793966,0.15616156097767928
6,ecoli,kNN,Precision,Standard,0.6719999999999999,0.3023599767752927
7,ecoli,kNN,Precision,Normalized,0.8854056291390726,0.2712900660305181
6,ecoli,kNN,Accuracy,Standard,0.9233264578558695,0.03653129931482333
7,ecoli,kNN,Accuracy,Normalized,0.9612086092715231,0.0300803302605658
6,ecoli,SVM,G-mean,Standard,0.7453770116041852,0.23205106848630186
7,ecoli,SVM,G-mean,Normalized,0.8329746136865342,0.2266549664101651
6,ecoli,SVM,Kappa,Standard,0.5958635920960771,0.2704232186824247
7,ecoli,SVM,Kappa,Normalized,0.9196146063281826,0.14743639944307185
6,ecoli,SVM,Bal. acc.,Standard,0.7971263440860217,0.14481384492029384
7,ecoli,SVM,Bal. acc.,Normalized,0.8733876011773364,0.14214228264689505
6,ecoli,SVM,Recall,Standard,0.6308333333333334,0.28167529572580946
7,ecoli,SVM,Recall,Normalized,0.6322222222222222,0.2786131882053958
6,ecoli,SVM,F1-score,Standard,0.6332063492063491,0.24958049257226164
7,ecoli,SVM,F1-score,Normalized,0.8970447019867549,0.21201772823820172
6,ecoli,SVM,MCC,Standard,0.6093682443914312,0.2709631555607371
7,ecoli,SVM,MCC,Normalized,0.9160467255334804,0.13770827297810945
6,ecoli,SVM,Precision,Standard,0.6863333333333332,0.2790696846468439
7,ecoli,SVM,Precision,Normalized,0.9176085356880058,0.2086331941709951
6,ecoli,SVM,Accuracy,Standard,0.9286666666666666,0.0460336727833168
7,ecoli,SVM,Accuracy,Normalized,0.9625487490802059,0.038197332587978645
6,ecoli,NB,G-mean,Standard,0.8054399284126411,0.10732340766736291
7,ecoli,NB,G-mean,Normalized,0.9105141648270788,0.09785257657948036
6,ecoli,NB,Kappa,Standard,0.3346067881316868,0.14972236164382713
7,ecoli,NB,Kappa,Normalized,0.8599733259749816,0.09557462713688923
6,ecoli,NB,Bal. acc.,Standard,0.8186559139784945,0.10074817670440091
7,ecoli,NB,Bal. acc.,Normalized,0.9109050772626931,0.10611983002720592
6,ecoli,NB,Recall,Standard,0.9283333333333332,0.14143117682384526
7,ecoli,NB,Recall,Normalized,0.9283333333333332,0.14143117682384526
6,ecoli,NB,F1-score,Standard,0.4409630751952464,0.12104621632468769
7,ecoli,NB,F1-score,Normalized,0.8683885209713025,0.09253928590025104
6,ecoli,NB,MCC,Standard,0.4244586193741923,0.14920325593331435
7,ecoli,NB,MCC,Normalized,0.8796228844738778,0.09891650220844099
6,ecoli,NB,Precision,Standard,0.3007117870052653,0.11531461246564405
7,ecoli,NB,Precision,Normalized,0.8356383370125093,0.09200453374319849
6,ecoli,NB,Accuracy,Standard,0.7317089381207029,0.11689493116104602
7,ecoli,NB,Accuracy,Normalized,0.7573160412067697,0.12873188354433932
6,ecoli,GBM,G-mean,Standard,0.7091156274637685,0.21190383378308747
7,ecoli,GBM,G-mean,Normalized,0.8075919793966152,0.20825845027903822
6,ecoli,GBM,Kappa,Standard,0.5827131795874115,0.24502236759699314
7,ecoli,GBM,Kappa,Normalized,0.9274429727740987,0.12250450012717756
6,ecoli,GBM,Bal. acc.,Standard,0.7686370967741936,0.13153148646952337
7,ecoli,GBM,Bal. acc.,Normalized,0.855551876379691,0.12760955656930234
6,ecoli,GBM,Recall,Standard,0.5608333333333333,0.26083599572656124
7,ecoli,GBM,Recall,Normalized,0.5619444444444444,0.2584932300854318
