Dataset,Classifier,Accuracy,Balanced accuracy,Kappa,G-mean,F1-score,Precision,Recall,MCC,Accuracy norm,Balanced accuracy norm,Kappa norm,G-mean norm,F1-score norm,Precision norm,Recall norm,MCC norm
transfusion,GBM,0.768583783784,0.601391468868,0.239178401881,0.502070754193,0.362811848196,0.532774353098,0.283660130719,0.259794220222,0.849045238985,0.600786516854,0.737985005608,0.595235640213,0.571005726205,0.836333261182,0.285730337079,0.723274070722
transfusion,CART,0.71890990991,0.57686876505,0.165130449969,0.503728041314,0.338305690544,0.390423755137,0.306895424837,0.169172435968,0.786038292765,0.576516853933,0.677099313249,0.598693894016,0.531065939904,0.733565398768,0.308764044944,0.650683897755
transfusion,RF,0.739506306306,0.581308049536,0.183802431192,0.490145290487,0.33484816551,0.434830032412,0.28068627451,0.193331370014,0.812394380055,0.58095505618,0.69153357996,0.579420098782,0.525103996537,0.76408056042,0.282528089888,0.67008048171
transfusion,LR,0.770994594595,0.545128138975,0.122604890119,0.314269470991,0.187625873863,0.598325396825,0.116045751634,0.179750908948,0.853196343887,0.544662921348,0.636376158523,0.338357897637,0.280455439895,0.803645191759,0.117865168539,0.658485704166
balance-scale,kNN,0.907717509003,0.492450090744,-0.0212122790772,0.0313820258745,0.0,0.0,0.0,-0.0253232715096,0.941618717504,0.4946,0.429547313692,0.0247383015598,0.02,0.02,0.02,0.463762911612
balance-scale,SVM,0.921630026945,0.5,0.0,0.0316227766017,0.0,0.0,0.0,0.0,0.956720970537,0.5,0.500034662045,0.0251993067591,0.02,0.02,0.02,0.500034662045
balance-scale,NB,0.921630026945,0.5,0.0,0.0316227766017,0.0,0.0,0.0,0.0,0.956720970537,0.5,0.500034662045,0.0251993067591,0.02,0.02,0.02,0.500034662045
balance-scale,GBM,0.916655124944,0.497304900181,-0.00802455243069,0.0315370289603,0.0,0.0,0.0,-0.0101570269206,0.951324090121,0.4988,0.473258925477,0.0250249566724,0.02,0.02,0.02,0.485489774697
balance-scale,CART,0.830895511739,0.452853448276,-0.0852488432755,0.0383302267529,0.00335664335664,0.00277777777778,0.0045,-0.0870493631237,0.858284228769,0.4526,0.22256915078,0.0325064124783,0.0318412478336,0.0340800693241,0.0242,0.376417331023
balance-scale,RF,0.90608643281,0.491566848155,-0.0238632047562,0.0313539641496,0.0,0.0,0.0,-0.0286867186967,0.939885615251,0.4942,0.420687694974,0.0246818024263,0.02,0.02,0.02,0.458946967071
